STATION,NAME,DATE,EMXT,PRCP,TAVG,TMAX
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1945-01,62,2.38,42.8,53.2
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1945-02,75,2.24,48,57.3
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1945-03,85,2.78,60.7,71.7
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1945-04,87,8.3,63.7,74.9
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1945-05,95,4.75,66.5,78
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1945-06,101,0.95,78.4,90.6
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1945-07,96,5.7,78.8,88.3
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1945-08,94,4.36,77.4,87.1
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1945-09,96,6.49,75.4,84.8
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1945-10,84,1.86,61.3,73.4
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1945-11,80,2.77,53.2,63.9
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1945-12,63,8.46,38.1,46.2
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1946-01,72,3.67,44.2,53
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1946-02,71,4.9,47.5,59.4
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1946-03,80,5.01,59.1,69.7
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1946-04,86,5.16,63.1,74.8
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1946-05,87,4.37,69.6,79.3
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1946-06,93,4.05,75.7,86.1
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1946-07,96,2.55,78,87.1
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1946-08,97,2.98,77.5,87.6
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1946-09,89,3.27,71.5,80.6
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1946-10,81,5.03,62.7,73.6
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1946-11,83,2.23,57.1,66.9
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1946-12,73,1.05,48.2,60.1
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1947-01,74,9.05,46.4,55.1
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1947-02,72,2.1,39.1,50.9
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1947-03,81,5.85,44.7,55.2
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1947-04,85,4.32,63.5,74.7
USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",1947-05,92,4.76,69.3,81.4
